"","speaker","start_time","end_time"
"00:04",1,4,8
"00:12",1,12,21
"00:28",1,28,31
"01:12",1,72,86
"02:04",1,124,149
"02:33",1,153,161
"02:52",1,172,176
"03:01",1,181,190
"03:23",1,203,206
"03:32",1,212,215
"03:44",1,224,241
"04:10",1,250,276
"04:40",1,280,286
"04:51",1,291,316
"06:25",1,385,408
"07:19",1,439,458
"08:56",1,536,554
"10:22",1,622,645
"11:44",1,704,722
"13:10",1,790,811
"14:18",1,858,881
"14:55",1,895,911
"16:43",1,1003,1024
"18:29",1,1109,1126
"19:39",1,1179,1203
"21:14",1,1274,1307
"22:43",1,1363,1383
"23:51",1,1431,1462
"24:48",1,1488,1522
"26:10",1,1570,1598
"27:12",1,1632,1652
"27:57",1,1677,1728
"28:56",1,1736,1754
"29:24",1,1764,1777
"29:43",1,1783,1798
"30:05",1,1805,1829
"31:08",1,1868,1884
"32:05",1,1925,1953
"32:39",1,1959,1980
"33:49",1,2029,2055
"34:35",1,2075,2103
"36:10",1,2170,2188
"36:45",1,2205,2237
"37:29",1,2249,2308
"38:55",1,2335,2343
"39:12",1,2352,2365
"39:33",1,2373,2385
"00:09",2,9,11
"00:22",2,22,27
"00:32",2,32,71
"01:27",2,87,123
"02:30",2,150,152
"02:42",2,162,171
"02:57",2,177,180
"03:11",2,191,202
"03:27",2,207,211
"03:36",2,216,223
"04:02",2,242,249
"04:37",2,277,279
"04:47",2,287,290
"05:17",2,317,384
"06:49",2,409,438
"07:39",2,459,535
"09:15",2,555,621
"10:46",2,646,703
"12:03",2,723,789
"13:32",2,812,857
"14:42",2,882,894
"15:12",2,912,1002
"17:05",2,1025,1108
"18:47",2,1127,1178
"20:04",2,1204,1273
"21:48",2,1308,1362
"23:04",2,1384,1430
"24:23",2,1463,1487
"25:23",2,1523,1569
"26:39",2,1599,1631
"27:33",2,1653,1676
"28:49",2,1729,1735
"29:15",2,1755,1763
"29:38",2,1778,1782
"29:59",2,1799,1804
"30:30",2,1830,1867
"31:25",2,1885,1924
"32:34",2,1954,1958
"33:01",2,1981,2028
"34:16",2,2056,2074
"35:04",2,2104,2169
"36:29",2,2189,2204
"37:18",2,2238,2248
"38:29",2,2309,2334
"39:04",2,2344,2351
"39:26",2,2366,2372
"39:46",2,2386,2394
